,Unnamed: 0,country,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,vintage,lat,long,path,row
1780,3181,US,Cerise Vineyard,93,52.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Phillips Hill 2014 Cerise Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Phillips Hill,2014,39.022872,-123.36028999999999,45,33
1800,4927,US,Deer Meadows Vineyard,92,58.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Waits-Mast 2014 Deer Meadows Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Waits-Mast,2014,39.033753999999995,-123.346528,45,33
1818,2588,US,Ferrington Vineyard,92,68.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Arista 2014 Ferrington Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Arista,2014,39.017115000000004,-123.362051,45,33
1819,3542,US,Ferrington Vineyard,93,60.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Daniel 2014 Ferrington Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Daniel,2014,39.017115000000004,-123.362051,45,33
1820,3813,US,Ferrington Vineyard,95,65.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,FEL 2014 Ferrington Vineyard Pinot Noir (Anderson Valley),Pinot Noir,FEL,2014,39.017115000000004,-123.362051,45,33
1821,3943,US,Ferrington Vineyard,92,65.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Williams Selyem 2014 Ferrington Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Williams Selyem,2014,39.017115000000004,-123.362051,45,33
1825,3690,US,Ferrington Vineyards,92,60.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Davies 2014 Ferrington Vineyards Pinot Noir (Anderson Valley),Pinot Noir,Davies,2014,39.017115000000004,-123.362051,45,33
1854,2630,US,Monument Tree,94,48.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Couloir 2014 Monument Tree Pinot Noir (Anderson Valley),Pinot Noir,Couloir,2014,39.114574,-123.513549,45,33
1881,3184,US,Savoy Vineyard,93,75.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Walt 2014 Savoy Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Walt,2014,39.078613,-123.46444699999999,45,33
1882,4423,US,Savoy Vineyard,93,70.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,FEL 2014 Savoy Vineyard Pinot Noir (Anderson Valley),Pinot Noir,FEL,2014,39.078613,-123.46444699999999,45,33
1887,4431,US,Split Rail Vineyard,93,82.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Goldeneye 2014 Split Rail Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Goldeneye,2014,37.035276,-121.80353999999998,44,34
